Ep,Step,Reward,Total_reward,Action,Epsilon,Done,Termination_Code
1,1,-1,-1,2,1,0
1,2,0,-1,1,1,0
1,3,0,-1,4,1,0
1,4,-1,-2,0,1,0
1,5,-1,-3,5,1,0
1,6,-1,-4,4,1,0
1,7,-1,-5,4,1,0
1,8,0,-5,0,1,0
1,9,0,-5,0,1,0
1,10,0,-5,0,1,0
1,11,0,-5,4,1,0
1,12,0,-5,4,1,0
1,13,0,-5,0,1,0
1,14,0,-5,4,1,0
1,15,0,-5,2,1,0
1,16,0,-5,4,1,0
1,17,0,-5,4,1,0
1,18,0,-5,3,1,0
1,19,0,-5,5,1,0
1,20,0,-5,1,1,0
1,21,0,-5,2,1,0
1,22,0,-5,3,1,0
1,23,0,-5,2,1,0
1,24,0,-5,4,1,0
1,25,0,-5,1,1,0
1,26,0,-5,0,1,0
1,27,0,-5,3,1,0
1,28,0,-5,3,1,0
1,29,0,-5,0,1,0
1,30,0,-5,4,1,0
1,31,-3,-8,3,1,0
1,32,-3,-11,3,1,0
1,33,-3,-14,2,1,0
1,34,0,-14,0,1,0
1,35,0,-14,4,1,0
1,36,-3,-17,3,1,0
1,37,-33,-50,1,1,1
2,1,0,0,3,1,0
2,2,0,0,2,1,0
2,3,0,0,1,1,0
2,4,0,0,0,1,0
2,5,0,0,1,1,0
2,6,150,150,5,1,0
2,7,-3,147,1,1,0
2,8,-3,144,2,1,0
2,9,-3,141,4,1,0
2,10,0,141,1,1,0
2,11,-3,138,2,1,0
2,12,-3,135,5,1,0
2,13,0,135,1,1,0
2,14,0,135,3,1,0
2,15,-30,105,2,1,1
3,1,-2,-2,5,1,0
3,2,0,-2,2,1,0
3,3,0,-2,3,1,0
3,4,0,-2,4,1,0
3,5,0,-2,0,1,0
3,6,150,148,5,1,0
3,7,0,148,3,1,0
3,8,0,148,2,1,0
3,9,-1,147,2,1,0
3,10,0,147,1,1,0
3,11,0,147,3,1,0
3,12,-31,116,3,1,1
4,1,0,0,2,1,0
4,2,0,0,3,1,0
4,3,0,0,0,1,0
4,4,0,0,2,1,0
4,5,0,0,0,1,0
4,6,0,0,2,1,0
4,7,0,0,3,1,0
4,8,0,0,1,1,0
4,9,0,0,0,1,0
4,10,0,0,2,1,0
4,11,0,0,3,1,0
4,12,0,0,2,1,0
4,13,0,0,4,1,0
4,14,0,0,5,1,0
4,15,0,0,1,1,0
4,16,0,0,4,1,0
4,17,0,0,1,1,0
4,18,-1,-1,1,1,0
4,19,0,-1,3,1,0
4,20,0,-1,3,1,0
4,21,0,-1,4,1,0
4,22,0,-1,0,1,0
4,23,0,-1,2,1,0
4,24,0,-1,0,1,0
4,25,0,-1,1,1,0
4,26,0,-1,3,1,0
4,27,0,-1,0,1,0
4,28,0,-1,4,1,0
4,29,0,-1,0,1,0
4,30,-3,-4,0,1,0
4,31,0,-4,0,1,0
4,32,-1,-5,2,1,0
4,33,-1,-6,4,1,0
4,34,0,-6,2,1,0
4,35,0,-6,0,1,0
4,36,0,-6,2,1,0
4,37,0,-6,5,1,0
4,38,-100,-106,2,1,1
5,1,-3,-3,2,1,0
5,2,-3,-6,5,1,0
5,3,0,-6,1,1,0
5,4,0,-6,5,1,0
5,5,-3,-9,3,1,0
5,6,0,-9,1,1,0
5,7,0,-9,1,1,0
5,8,0,-9,2,1,0
5,9,-30,-39,0,1,1
6,1,-1,-1,3,1,0
6,2,0,-1,0,1,0
6,3,-3,-4,2,1,0
6,4,0,-4,3,1,0
6,5,-1,-5,1,1,0
6,6,-1,-6,4,1,0
6,7,0,-6,2,1,0
6,8,0,-6,5,1,0
6,9,0,-6,4,1,0
6,10,0,-6,2,1,0
6,11,0,-6,1,1,0
6,12,0,-6,2,1,0
6,13,0,-6,2,1,0
6,14,0,-6,1,1,0
6,15,-30,-36,0,1,1
7,1,-2,-2,4,1,0
7,2,-3,-5,3,1,0
7,3,-1,-6,0,1,0
7,4,-3,-9,2,1,0
7,5,-1,-10,0,1,0
7,6,-1,-11,4,1,0
7,7,-1,-12,5,1,0
7,8,0,-12,3,1,0
7,9,-1,-13,3,1,0
7,10,-30,-43,0,1,1
8,1,0,0,2,1,0
8,2,0,0,2,1,0
8,3,0,0,0,1,0
